ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category1Description,category2Description,category3Description,options
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.codec.ApacheBase64ToJavaBase64,Prefer `java.util.Base64`,Prefer the Java standard library's `java.util.Base64` over third-party usage of apache's `apache.commons.codec.binary.Base64`.,1,Commons Codec,Commons,Apache,Recipes for [Apache Commons Codec](https://commons.apache.org/proper/commons-codec/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.ApacheCommonsFileUtilsRecipes,`ApacheCommonsFileUtils` Refaster recipes,Refaster template recipes for `org.openrewrite.apache.commons.io.ApacheCommonsFileUtils`.,5,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.ApacheCommonsFileUtilsRecipes$GetFileRecipe,Replace `FileUtils.getFile(String...)` with JDK provided API,Replace Apache Commons `FileUtils.getFile(String... name)` with JDK provided API.,1,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.ApacheCommonsFileUtilsRecipes$WriteStringToFileRecipe,"Replace `FileUtils.writeStringToFile(File, String)` with JDK provided API","Replace Apache Commons `FileUtils.writeStringToFile(File file, String data)` with JDK provided API.",1,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.ApacheFileUtilsToJavaFiles,Prefer `java.nio.file.Files`,Prefer the Java standard library's `java.nio.file.Files` over third-party usage of apache's `apache.commons.io.FileUtils`.,1,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.ApacheIOUtilsUseExplicitCharset,Use IOUtils method that include  their charset encoding,"Use `IOUtils` method invocations that include the charset encoding instead of using the deprecated versions that do not include a charset encoding. (e.g. converts `IOUtils.readLines(inputStream)` to `IOUtils.readLines(inputStream, StandardCharsets.UTF_8)`.",1,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,"[{""name"":""encoding"",""type"":""String"",""displayName"":""Default encoding"",""description"":""The default encoding to use, must be a standard charset."",""example"":""UTF_8""}]"
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.RelocateApacheCommonsIo,Relocate `org.apache.commons:commons-io` to `commons-io:commons-io`,The deployment of `org.apache.commons:commons-io` [was a publishing mistake around 2012](https://issues.sonatype.org/browse/MVNCENTRAL-244) which was corrected by changing the deployment GAV to be located under `commons-io:commons-io`.,3,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.UseSystemLineSeparator,Prefer `System.lineSeparator()`,Prefer the Java standard library's `System.lineSeparator()` over third-party usage of apache's `IOUtils.LINE_SEPARATOR`.,3,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.io.UseStandardCharsets,Prefer `java.nio.charset.StandardCharsets`,Prefer the Java standard library's `java.nio.charset.StandardCharsets` over third-party usage of apache's `org.apache.commons.io.Charsets`.,13,Commons IO,Commons,Apache,Recipes for [Apache Commons IO](https://commons.apache.org/proper/commons-io/) migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
maven,org.openrewrite.recipe:rewrite-apache,org.openrewrite.apache.commons.lang.ApacheCommonsStringUtilsRecipes,`ApacheCommonsStringUtils` Refaster recipes,Refaster template recipes for `org.openrewrite.apache.commons.lang.ApacheCommonsStringUtils`.,39,Commons Lang,Commons,Apache,Recipes for [Apache Commons Lang](https://commons.apache.org/proper/commons-lang/) upgrades and migrations.,,Recipes to perform [Apache](https://apache.org/) project migration tasks.,
